"kreis","name","land","afd_prozent","lohn_prozent","linke_prozent"
"08221","Heidelberg, Stadtkreis","BW",0.047389587778023,0.118,0.0659653252899777
"08222","Mannheim, Stadtkreis","BW",0.0903807728027467,0.151,0.0497143500408071
"08225","Neckar-Odenwald-Kreis","BW",0.12413091402408,0.16,0.0240073645194893
"08226","Rhein-Neckar-Kreis","BW",0.0932065139618969,0.143,0.0296823473667808
"08231","Pforzheim, Stadtkreis","BW",0.157036859262815,0.181,0.0323993520129597
"08235","Calw","BW",0.12785840056161,0.148,0.0245129066783285
"08236","Enzkreis","BW",0.124371605793948,0.155,0.0238811731779858
"08237","Freudenstadt","BW",0.12676974382295,0.191,0.0231317265423677
"08311","Freiburg im Breisgau, Stadtkreis","BW",0.0433052877040398,0.114,0.0833254553475767
"08315","Breisgau-Hochschwarzwald","BW",0.0656815293166091,0.158,0.0330012453300125
"08316","Emmendingen","BW",0.0743486788732684,0.14,0.0327072572115138
"08317","Ortenaukreis","BW",0.100039286818854,0.166,0.0282238178429029
"08325","Rottweil","BW",0.132426153335546,0.16,0.0221093211468253
"08326","Schwarzwald-Baar-Kreis","BW",0.11002099155833,0.174,0.0248294998963936
"08327","Tuttlingen","BW",0.131410705773491,0.138,0.0222639710624457
"08335","Konstanz","BW",0.084670893547343,0.166,0.0368360592271028
"08336","Lörrach","BW",0.0859790457903744,0.15,0.0318821221354928
"08337","Waldshut","BW",0.0933823197944372,0.174,0.0261348780597755
"08415","Reutlingen","BW",0.101755298400728,0.132,0.0330321154596281
"08416","Tübingen","BW",0.0655622557480927,0.108,0.0559528346297832
"08417","Zollernalbkreis","BW",0.128588790044237,0.149,0.0266102766029848
"08421","Ulm, Stadtkreis","BW",0.0689862861378799,0.14,0.043211020509019
"08425","Alb-Donau-Kreis","BW",0.102664361395576,0.148,0.022866515937403
"08426","Biberach","BW",0.108925350055837,0.114,0.0222145863757409
"08435","Bodenseekreis","BW",0.0840402148814105,0.118,0.0283360973790499
"08436","Ravensburg","BW",0.0870848708487085,0.138,0.0312036839376658
"08437","Sigmaringen","BW",0.112758602063415,0.151,0.0253875654945174
"09161","Ingolstadt, Stadt","BY",0.100142513446833,0.107,0.0320885115773021
"09162","München, Landeshauptstadt","BY",0.0452797228758382,0.111,0.0405156388584018
"09163","Rosenheim, Stadt","BY",0.0865757171230424,0.16,0.0324943834858203
"09171","Altötting","BY",0.103651448317595,0.122,0.0225329235473032
"09172","Berchtesgadener Land","BY",0.0888416800167166,0.174,0.0239081980915233
"09173","Bad Tölz-Wolfratshausen","BY",0.0826341450523896,0.168,0.0226999458266718
"09174","Dachau","BY",0.0760678960699591,0.157,0.019610090428763
"09175","Ebersberg","BY",0.0623425618914834,0.125,0.0226593713020351
"09176","Eichstätt","BY",0.0938060606060606,0.12,0.0200848484848485
"09177","Erding","BY",0.08323090641795,0.2,0.0206540862314125
"09178","Freising","BY",0.0785212896478207,0.121,0.0267603934109697
"09179","Fürstenfeldbruck","BY",0.0619298672931415,0.137,0.0239406629842936
"09180","Garmisch-Partenkirchen","BY",0.0770816002420026,0.224,0.0201164637374272
"09181","Landsberg am Lech","BY",0.0733837707200462,0.128,0.0266766490661203
"09182","Miesbach","BY",0.0758155007199245,0.163,0.0196944871985833
"09183","Mühldorf a.Inn","BY",0.111502910989737,0.17,0.0203169077486345
"09184","München","BY",0.052620489331922,0.097,0.0223194353167815
"09185","Neuburg-Schrobenhausen","BY",0.107509417009365,0.143,0.0170715692711753
"09186","Pfaffenhofen a.d.Ilm","BY",0.103566188030605,0.156,0.019730636201656
"09187","Rosenheim","BY",0.0865666440568274,0.151,0.0224584155273589
"09188","Starnberg","BY",0.0501690754401377,0.109,0.0222505685989001
"09189","Traunstein","BY",0.0838437546971291,0.135,0.0241432436494814
"09190","Weilheim-Schongau","BY",0.0798149083349971,0.108,0.024193453674234
"09261","Landshut, Stadt","BY",0.081972611762123,0.176,0.0326024314607975
"09262","Passau, Stadt","BY",0.0811535162950257,0.153,0.0363064608347627
"09263","Straubing, Stadt","BY",0.114815632589976,0.189,0.0287922278648708
"09271","Deggendorf","BY",0.13263895960316,0.16,0.0184891552594446
"09272","Freyung-Grafenau","BY",0.150255536626917,0.164,0.0173364064535525
"09273","Kelheim","BY",0.112739845413113,0.128,0.0188876030460189
"09274","Landshut","BY",0.102530904158575,0.143,0.0191025206284616
"09275","Passau","BY",0.128400286699205,0.205,0.0191303457455886
"09276","Regen","BY",0.157643482542333,0.19,0.0178537023954788
"09277","Rottal-Inn","BY",0.113574375830478,0.2,0.0187425694104483
"09278","Straubing-Bogen","BY",0.116955202289416,0.217,0.0154409799204365
